,date,annual_return,high_low,Investment
127,2021-03-15,37.462717464285724,"[-14.401559342857144, 37.462717464285724]",2300000
128,2021-03-16,37.462717464285724,"[-14.401559342857144, 37.462717464285724]",2300000
129,2021-03-17,37.462717464285724,"[-14.401559342857144, 37.462717464285724]",2300000
130,2021-03-18,37.462717464285724,"[-14.401559342857144, 37.462717464285724]",2300000
131,2021-03-19,37.462717464285724,"[-14.401559342857144, 37.462717464285724]",2300000
132,2021-03-22,37.462717464285724,"[-14.401559342857144, 37.462717464285724]",2300000
133,2021-03-23,37.462717464285724,"[-14.401559342857144, 37.462717464285724]",2300000
134,2021-03-24,37.462717464285724,"[-14.401559342857144, 37.462717464285724]",2300000
135,2021-03-25,37.462717464285724,"[-14.401559342857144, 37.462717464285724]",2300000
136,2021-03-26,37.462717464285724,"[-14.401559342857144, 37.462717464285724]",2300000
137,2021-03-30,37.462717464285724,"[-14.401559342857144, 37.462717464285724]",2300000
138,2021-03-31,37.462717464285724,"[-14.401559342857144, 37.462717464285724]",2300000
139,2021-04-01,37.462717464285724,"[-14.401559342857144, 37.462717464285724]",2300000
140,2021-04-05,37.462717464285724,"[-14.401559342857144, 37.462717464285724]",2300000
141,2021-04-06,37.462717464285724,"[-14.401559342857144, 37.462717464285724]",2300000
142,2021-04-07,37.462717464285724,"[-14.401559342857144, 37.462717464285724]",2300000
143,2021-04-08,37.462717464285724,"[-14.401559342857144, 37.462717464285724]",2300000
144,2021-04-09,37.462717464285724,"[-14.401559342857144, 37.462717464285724]",2300000
145,2021-04-12,37.462717464285724,"[-14.401559342857144, 37.462717464285724]",2300000
146,2021-04-13,37.462717464285724,"[-14.401559342857144, 37.462717464285724]",2300000
147,2021-04-15,37.462717464285724,"[-14.401559342857144, 37.462717464285724]",2300000
148,2021-04-16,37.462717464285724,"[-14.401559342857144, 37.462717464285724]",2300000
149,2021-04-19,37.462717464285724,"[-14.401559342857144, 37.462717464285724]",2300000
150,2021-04-20,40.4460136375,"[-13.473220984615384, 40.4460136375]",2200000
151,2021-04-22,40.4460136375,"[-13.473220984615384, 40.4460136375]",2200000
152,2021-04-23,40.4460136375,"[-13.473220984615384, 40.4460136375]",2200000
153,2021-04-26,40.4460136375,"[-13.473220984615384, 40.4460136375]",2200000
154,2021-04-27,40.4460136375,"[-13.473220984615384, 40.4460136375]",2200000
155,2021-04-28,40.4460136375,"[-13.473220984615384, 40.4460136375]",2200000
156,2021-04-29,40.4460136375,"[-13.473220984615384, 40.4460136375]",2200000
157,2021-04-30,40.4460136375,"[-13.473220984615384, 40.4460136375]",2200000
158,2021-05-03,40.4460136375,"[-13.473220984615384, 40.4460136375]",2200000
159,2021-05-04,40.4460136375,"[-13.473220984615384, 40.4460136375]",2200000
160,2021-05-05,40.4460136375,"[-13.473220984615384, 40.4460136375]",2200000
161,2021-05-06,40.4460136375,"[-13.473220984615384, 40.4460136375]",2200000
162,2021-05-07,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
163,2021-05-10,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
164,2021-05-11,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
165,2021-05-12,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
166,2021-05-14,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
167,2021-05-17,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
168,2021-05-18,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
169,2021-05-19,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
170,2021-05-20,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
171,2021-05-21,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
172,2021-05-24,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
173,2021-05-25,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
174,2021-05-26,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
175,2021-05-27,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
176,2021-05-28,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
177,2021-05-31,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
178,2021-06-01,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
179,2021-06-02,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
180,2021-06-03,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
181,2021-06-04,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
182,2021-06-07,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
183,2021-06-08,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
184,2021-06-09,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
185,2021-06-10,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
186,2021-06-11,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
187,2021-06-14,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
188,2021-06-15,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
189,2021-06-16,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
190,2021-06-17,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
191,2021-06-18,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
192,2021-06-21,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
193,2021-06-22,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
194,2021-06-23,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
195,2021-06-24,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
196,2021-06-25,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
197,2021-06-28,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
